distance_m,rssi
118.283377,-80.045387
99.812707,-77.851789
117.907408,-80.003430
99.833003,-77.854929
117.375944,-79.944369
99.858894,-77.858491
99.871508,-77.861009
116.884645,-79.889392
116.704031,-79.869044
99.896832,-77.862430
99.904989,-77.865175
116.098863,-79.801744
115.883654,-79.777323
99.923204,-77.866709
99.939591,-77.869709
115.179059,-79.698293
114.933620,-79.669968
99.961912,-77.871388
99.976162,-77.874653
99.743645,-77.844579
114.129987,-79.578788
113.844357,-79.546352
8.163015,-45.181517
100.005161,-77.876471
100.022437,-77.880015
99.755336,-77.845498
112.947168,-79.443208
112.632982,-79.406752
9.330850,-46.926827
100.045468,-77.882000
9.960076,-47.783522
99.768027,-77.846668
99.760766,-77.846817
100.061991,-77.885819
111.635508,-79.291084
111.286996,-79.250437
10.485751,-48.440914
100.091351,-77.887961
11.096512,-49.196400
99.785323,-77.848315
99.775318,-77.848498
100.112760,-77.892102
110.198693,-79.121951
109.818163,-79.076929
11.619703,-49.780045
100.142127,-77.894419
12.225935,-50.454575
99.799151,-77.850289
99.790979,-77.850505
100.164616,-77.898844
108.624866,-78.934839
108.211016,-78.885069
12.735677,-50.977304
100.197414,-77.901284
13.333761,-51.588260
99.817228,-77.852605
99.807603,-77.852857
100.218421,-77.905932
106.924401,-78.728798
106.473755,-78.674168
13.841735,-52.064769
100.248845,-77.908475
14.440660,-52.624786
99.839901,-77.855298
99.833447,-77.855586
100.280550,-77.913337
105.081228,-78.502620
104.602271,-78.443026
14.943889,-53.066685
100.304537,-77.916052
7.932960,-44.816673
99.800962,-77.851857
101.456477,-78.064567
109.829479,-79.075219
15.544982,-53.588941
99.858677,-77.858330
99.820174,-77.853115
8.540264,-45.764512
99.852631,-77.858651
100.337686,-77.921308
103.118850,-78.256663
102.608935,-78.191932
108.990609,-78.975449
16.063109,-54.001752
100.375591,-77.924207
101.759009,-78.101205
9.122642,-46.639356
99.824926,-77.855130
101.795237,-78.107889
108.698836,-78.939978
16.657718,-54.489787
99.881822,-77.861714
99.844072,-77.856557
9.716470,-47.449532
99.880763,-77.862069
100.405329,-77.929764
101.028231,-77.989731
100.486894,-77.919646
107.758565,-78.826994
17.177350,-54.875391
100.443428,-77.932848
102.121306,-78.147085
10.281412,-48.203665
99.857752,-77.858820
102.163616,-78.154207
107.426859,-78.787003
17.776831,-55.333973
99.917132,-77.865436
99.880140,-77.860394
10.865094,-48.909980
98.811809,-77.700371
99.910000,-77.865832
100.475711,-77.938731
98.235355,-77.624260
106.391948,-78.660150
18.293040,-55.699356
100.508126,-77.941987
102.500576,-78.195903
11.420145,-49.575725
99.883589,-77.862858
102.547436,-78.203486
106.026911,-78.615593
18.902020,-56.133873
99.949145,-77.869586
99.912629,-77.864568
12.005667,-50.208532
96.458738,-77.386346
99.941241,-77.870028
100.547241,-77.948134
95.853466,-77.303703
104.899025,-78.474959
19.420971,-56.478587
100.585812,-77.951488
102.915134,-78.247655
12.559128,-50.810309
99.918660,-77.867242
102.963299,-78.255658
104.498006,-78.425708
20.031274,-56.888032
99.978419,-77.874177
99.941312,-77.869097
13.139843,-51.383088
93.963938,-77.045526
99.982021,-77.874655
100.627433,-77.957855
93.329059,-76.955901
103.270891,-78.270669
20.555401,-57.214509
100.661056,-77.961364
103.349434,-78.302251
137.213019,-81.956383
13.694556,-51.930323
99.955197,-77.871987
102.843294,-78.216506
103.403304,-78.310688
135.879223,-81.827926
21.166493,-57.603133
100.020408,-77.879181
99.981875,-77.873983
14.261474,-52.454898
91.342087,-76.675849
100.016337,-77.879707
100.702437,-77.967979
90.663909,-76.578689
101.513111,-78.046791
21.677964,-57.912527
100.738372,-77.971581
103.805669,-78.359670
134.178157,-81.664221
14.815793,-52.959851
99.999672,-77.877082
101.050220,-77.987752
103.870227,-78.368518
132.753411,-81.524758
22.291170,-58.280675
100.019597,-77.879211
100.059078,-77.884649
15.383905,-53.444267
88.579139,-76.275477
100.060530,-77.885221
100.785433,-77.978362
87.868495,-76.170437
99.637892,-77.803289
22.809512,-58.573530
100.821077,-77.982067
104.289585,-78.419688
130.949614,-81.347248
15.943588,-53.911090
99.152234,-77.739332
100.038326,-77.882532
104.353761,-78.428919
129.448926,-81.195965
23.417886,-58.923312
100.110409,-77.890507
100.069322,-77.884826
16.510387,-54.361125
85.685006,-75.843107
100.106683,-77.891121
100.868778,-77.989130
84.946142,-75.729546
97.648380,-77.539965
23.937745,-59.203750
100.907845,-77.992978
104.798125,-78.482496
127.539196,-81.003248
17.064058,-54.795973
97.132723,-77.470849
100.085669,-77.888353
104.866854,-78.492141
125.951987,-80.839371
24.547354,-59.536284
100.158758,-77.896781
100.115277,-77.890792
17.628970,-55.214967
82.662649,-75.375063
100.154183,-77.897424
100.954059,-78.000247
81.893546,-75.251997
95.544477,-77.255019
25.059568,-59.801382
100.990955,-78.004216
105.322853,-78.547736
123.949108,-80.631114
18.177669,-55.621614
94.992938,-77.180387
100.134249,-77.894576
105.399441,-78.557759
122.276668,-80.453804
25.667247,-60.118369
100.203588,-77.903428
100.158694,-77.897191
18.743273,-56.018328
79.511580,-74.867486
100.202607,-77.904122
101.041411,-78.011658
78.696657,-74.733887
93.320907,-76.948397
26.188774,-60.372185
101.086680,-78.015681
105.884353,-78.615702
120.169111,-80.228347
19.302563,-56.405937
92.746174,-76.868209
100.184721,-77.901238
105.955483,-78.626116
113.846133,-79.549167
118.421676,-80.036175
26.789544,-60.676348
100.262025,-77.910624
100.214502,-77.903995
107.924297,-78.851848
19.878307,-56.782668
76.212448,-74.315868
100.262192,-77.911374
101.134569,-78.023226
75.368641,-74.170610
90.994173,-76.618599
27.304655,-60.918903
91.814208,-76.754839
101.175105,-78.027302
106.457586,-78.686031
116.214738,-79.791772
124.348417,-80.673103
20.439368,-57.148429
90.395023,-76.532312
100.237158,-77.908246
106.534413,-78.696751
8.685804,-45.998782
112.994587,-79.452139
114.378172,-79.583832
27.910988,-61.208282
100.326040,-77.918267
100.274029,-77.911162
106.753195,-78.710232
21.015125,-57.503709
72.778129,-73.715903
100.323855,-77.919053
101.226872,-78.034959
71.906763,-73.557784
88.555482,-76.263907
28.425603,-61.439685
90.384733,-76.551902
101.268919,-78.039100
107.056435,-78.758320
112.072546,-79.319814
121.399545,-80.361231
21.559210,-57.848891
87.919483,-76.171277
100.297002,-77.915613
107.133237,-78.769322
9.861678,-47.658082
110.172287,-79.095265
112.009819,-79.338303
29.017172,-61.716198
100.330706,-77.918646
100.386377,-77.926339
105.445625,-78.550294
22.143205,-58.184409
69.217991,-73.062516
100.387020,-77.927167
101.319838,-78.046860
68.313186,-72.890149
86.008349,-75.883266
96.065162,-77.318794
29.532106,-61.937453
88.885153,-76.335096
101.364435,-78.051107
107.768189,-78.809596
107.672062,-78.832411
118.257087,-80.019554
22.681187,-58.509532
85.346232,-75.783751
100.358802,-77.923298
107.751660,-78.843627
11.012604,-49.096810
100.403622,-77.928388
105.798212,-78.567316
110.889020,-79.207576
135.769655,-81.817110
30.110999,-62.196674
100.451516,-77.934735
100.390704,-77.926461
104.007435,-78.371590
135.422599,-81.784594
23.260193,-58.825976
65.532078,-72.349214
100.451046,-77.935598
101.411026,-78.058672
134.865956,-81.731598
64.594342,-72.160523
83.358603,-75.474782
94.832622,-77.149302
30.586591,-62.396063
87.338574,-76.107490
101.454814,-78.062429
103.333900,-78.261817
108.289152,-78.906326
114.958364,-79.650627
23.806559,-59.135666
82.682908,-75.368280
100.415187,-77.931353
108.362344,-78.917235
12.142040,-50.369313
100.564283,-77.949294
101.320835,-78.003780
109.636375,-79.059730
132.304598,-81.480165
31.114999,-62.625346
100.520627,-77.943528
100.456307,-77.934684
102.435794,-78.174151
131.935191,-81.445013
24.375526,-59.438666
61.718860,-71.566915
100.516288,-77.944430
101.488044,-78.068758
132.144576,-81.465615
12.429380,-50.666241
99.749535,-77.844374
112.590551,-79.378587
117.393269,-79.946869
60.747008,-71.359450
80.620029,-75.037926
93.510365,-76.966652
85.808151,-75.884213
101.723702,-78.089858
108.911611,-78.979203
117.207703,-79.927980
31.550316,-62.801581
85.776028,-75.872277
98.808815,-77.678110
101.522540,-78.071838
108.883185,-78.977946
111.552802,-79.258543
24.923529,-59.733834
79.911365,-74.924043
100.487417,-77.939789
108.965573,-78.988456
13.257670,-51.515987
96.755567,-77.402781
100.737581,-77.971999
108.253240,-78.894275
128.661043,-81.116099
32.030025,-63.003912
100.586544,-77.952710
100.518306,-77.943262
100.746204,-77.957712
128.268725,-81.078120
25.488022,-60.022339
57.772810,-70.705679
100.590883,-77.953650
101.556372,-78.076927
129.219346,-81.173589
13.555691,-51.787005
99.750744,-77.844577
109.122699,-78.969816
116.664888,-79.865008
56.769156,-70.476450
77.785814,-74.570829
92.134391,-76.771669
84.224043,-75.641995
99.981769,-77.865894
107.458556,-78.804841
116.434489,-79.842027
32.425388,-63.159440
84.187109,-75.629715
94.193681,-77.054454
101.582639,-78.079299
108.048885,-78.842341
109.464228,-79.046813
26.041422,-60.304774
77.060237,-74.449450
100.553305,-77.948550
109.541011,-79.056882
14.375802,-52.566003
92.090384,-76.759592
100.931781,-77.996432
106.734138,-78.711209
124.829323,-80.722675
32.867620,-63.336935
98.941623,-77.722582
100.590368,-77.952133
100.666996,-77.962409
124.432197,-80.681649
26.606902,-60.582824
53.710860,-69.755573
100.668474,-77.963420
101.605141,-78.082869
126.080673,-80.853093
14.663087,-52.813885
99.758311,-77.844811
105.543605,-78.535748
115.785957,-79.767210
90.938733,-76.598657
99.745022,-77.844824
100.979663,-78.004083
125.763179,-80.819388
52.689510,-69.503812
74.894662,-74.075762
90.702747,-76.567652
136.362742,-81.917360
82.634898,-75.394169
98.128981,-77.623244
105.883636,-78.613288
115.524018,-79.740236
27.163270,-60.855681
74.154739,-73.947945
100.619175,-77.957584
110.078820,-79.120909
15.471702,-53.527463
87.410042,-76.079145
101.128686,-78.022519
105.111361,-78.511035
120.830950,-80.297909
33.514131,-63.586359
81.808253,-75.258326
87.159954,-76.044627
101.626230,-78.084339
102.665053,-78.177519
110.263960,-79.140431
134.326912,-81.720891
33.526423,-63.596316
97.027181,-77.468567
100.744876,-77.972732
100.659729,-77.961277
120.407699,-80.253545
135.982145,-81.838305
27.741246,-61.122547
49.568858,-68.711451
100.750389,-77.973786
101.612498,-78.084020
122.726394,-80.502744
15.759329,-53.757849
99.756668,-77.845079
101.974737,-78.088167
114.779576,-79.653555
135.532841,-81.794695
89.496758,-76.389893
99.747867,-77.845094
101.188169,-78.030715
122.397262,-80.466068
48.537473,-68.434772
71.960441,-73.554807
89.268098,-76.358314
132.978788,-81.590046
81.093811,-75.148138
96.172671,-77.361454
104.192606,-78.404143
114.484009,-79.622680
33.726888,-63.671325
81.043685,-75.135924
84.871676,-75.697073
100.926937,-77.954255
101.610403,-78.082596
110.469982,-79.165038
132.654374,-81.557727
28.289287,-61.384006
71.225047,-73.421795
100.694632,-77.966952
110.513956,-79.171686
46.465673,-67.867443
70.502059,-73.288246
88.558975,-76.253917
131.356406,-81.430602
16.585569,-54.425707
82.839275,-75.380746
101.349538,-78.050548
103.353800,-78.292441
116.627182,-79.837526
33.870929,-63.724302
80.285936,-75.013913
82.604640,-75.345412
99.209410,-77.731525
101.581079,-78.078909
110.648648,-79.185814
131.048660,-81.399367
33.859509,-63.727850
94.998179,-77.194377
100.826455,-77.983408
100.734825,-77.970848
116.186750,-79.789439
132.863706,-81.536752
28.862876,-61.641102
45.438441,-67.576648
100.831866,-77.984490
101.560447,-78.077439
119.198611,-80.122297
16.863302,-54.640610
98.545977,-77.642670
99.761651,-77.845385
113.639673,-79.523796
132.392375,-81.489326
88.074932,-76.181553
99.752588,-77.845402
101.413375,-78.059330
118.840878,-80.082543
44.419714,-67.280841
69.063303,-73.019320
87.863263,-76.150657
129.812958,-81.276646
79.588324,-74.904263
94.098840,-77.078706
102.372656,-78.176011
113.305038,-79.488805
33.924116,-63.745705
79.539990,-74.892065
80.382295,-74.989780
97.536760,-77.509709
101.534248,-78.073351
110.788890,-79.202641
129.517238,-81.246524
29.418044,-61.893181
68.348847,-72.883791
100.772652,-77.976838
110.815964,-79.206891
42.394165,-66.673414
67.637362,-72.747359
87.175049,-76.047989
128.339657,-81.128305
136.070949,-81.885900
17.687122,-55.266497
78.421227,-74.666105
101.476909,-78.054505
101.589766,-78.080451
112.248912,-79.338575
134.820662,-81.745705
33.897303,-63.735637
78.193324,-74.629953
78.791513,-74.769811
95.897671,-77.288806
101.480829,-78.066036
110.901032,-79.215341
128.065815,-81.099321
33.873325,-63.732902
92.859013,-76.898373
100.912241,-77.994287
100.814121,-77.980899
111.786796,-79.286427
129.566782,-81.209330
135.580447,-81.838250
29.982237,-62.136239
41.396591,-66.362730
100.913902,-77.995333
101.448826,-78.063586
111.002585,-79.229426
115.487181,-79.710365
